,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-09-24 17:02:09+00:00,1441447878053015552,"The secret to a long life may not be one secret, but a list of them. There are many aspects to extending your life, ranging from the foods you eat, the activities you participate in, and the company you keep. https://t.co/Fa8doX8jvV",jackiewellness,"Jackson, MS",0,0,0,0
1,2021-09-23 13:03:39+00:00,1441025470796115971,Workers in the Food Service and Janitorial departments at Columbus Municipal School District are committed to the health and safety of children and employees. Their efforts have earned them recognition as MASS heroes. Click below to view their story. https://t.co/muHTitFyKr,MSSupts,"Jackson, MS",0,0,2,0
2,2021-09-17 06:16:57+00:00,1438748794221383687,"Sometimes I wonder if the food we eat causes anxiety, depression and any other mental health illnesses. Hmm 🤔",savvyserndpty,Galactic Talks ,0,0,0,0
3,2021-08-14 12:47:06+00:00,1426525789110116356,"@CoreyUn45943238 @AJ59861509 @JessicaBusby20 Stopped eating meat, after watching Netflix's What the Health, it was going to be for just 2 wks, like the people on the show.  
Found a site that gave great recipes using healthy food I liked. 
 In 2 wks: lost 7lbs, blood work on point, &amp; joints didn't ache. I just feel better.",B4Ther,Red State 🎭🤦,0,0,1,0
4,2021-05-20 17:49:52+00:00,1395436628957671424,"The wait is Almost over just waiting to get approved from the Health Department ‼️ The Greatest Show on Earth
 “Johnny Dollar World Famous Foods” @ Health Department https://t.co/YGyVB0IPT6",MONTANAESCO,"iPhone: 0.000000,0.000000",0,0,0,0
5,2020-12-14 20:08:01+00:00,1338576498454892553,"I am health and I am wealth, but trash food just taste so good.",Jeff_IAmThatIAm,"Birmingham, AL",0,0,1,0
6,2020-11-06 00:47:47+00:00,1324513776583016455,"Gas prices with biden was VP. If the democrats get away with this election fraud, ya better get ready for gas to go up along with taxes, health care, utilities, food and everything else Except Employment ! Better learn to speak Chinese, their military is already in Canada. https://t.co/oJtvmMsrTK",Lessweforget57, USA,0,0,0,0
7,2020-09-03 22:27:23+00:00,1301648010603094017,@simply_steph923 avocado toast is a bottom-tier health food. massive scam.,calvertlamon,"Jackson, MS",1,0,1,0
8,2020-07-19 03:41:06+00:00,1284694727707762689,"@tweettruth2me I dont do health food diets or anything, but I don't eat only processed sugar either.",chris_rogerson_,"Oxford, MS",1,0,1,0
9,2020-05-22 16:30:17+00:00,1263869805809016839,"The senate won't consider another stimulus because Trump say's so.
It's held hostage by Rep's and Trump.
Because they don't have to worry about rent, food, electric bill every dam day.
They watch as American's suffer with bill's, health.
1/

https://t.co/rKq704VjdL",debbie_american,"Live in MISS, 25 years in TX😊",6,1,1,0
10,2020-02-12 16:15:19+00:00,1227627250201366528,"@camzilllla so don’t u think i know people who are fucking poor as fuck, and don’t have the means to be educated about true health are gonna be susceptible to trash foods....bro get yo anti vegan head out yo ass. y’all niggas more annoying than us fr.",theonlystarleft,,0,0,0,0
11,2020-01-12 20:32:24+00:00,1216457925855793159,"@robbiefaulkSDN I’m beginning to learn more and more about how our diets affect health. One of my best friends motto is Health Drives Performance. That’s for all parts of life, not just sports or training. Health is hugely affected by the food we eat.",CoachTQuick,"Philadelphia, MS",1,0,0,0
12,2020-01-08 23:06:57+00:00,1215047267226411008,there are skinny people that literally live off a diet of mountain dew and fast food and cigarettes but no one says shit because they’re skinny.....yet fat phobic twitter thinks they’re fucking doctors and “cares about peoples health” no ones health is your god damn business,spookyywitch,,1,0,5,0
13,2019-12-22 20:05:33+00:00,1208841020525498369,"this year has been pretty rough for me from 🥺 although I’ve had some great ups I’ve also experienced some major downs from graduating to going to college to having a miscarriage to my health failing with my diabetes, having the flu and food poisoning.",Miracles_R_Born,"Canton, MS",2,0,6,1
14,2019-11-18 21:12:53+00:00,1196536781648347139,"I have God, family, a roof over my head, food to eat, two jobs, my health, and so much more. I’m grateful.",crownedbyvic,JXN,1,0,3,0
15,2019-11-03 23:55:38+00:00,1191141919604256768,@HoodForGovernor I work in health care in one of N MS's USDA-designated food deserts. My patients have trouble affording to buy fresh fruits and vegetables. This makes it harder for us health care professionals to fight diabetes and hypertension. I support reducing or eliminating the grocery tax.,cknunnally,"Ripley, MS",0,1,8,1
16,2019-10-12 16:54:46+00:00,1183063472973717504,@pelfreyduryea @ProfLWiley @MedlawDan @emilyabenfer @thejimhobart Yes. Have had great community conversations re: how discriminatory public policies past &amp; present shape &amp; limit access to fair opportunities for health where we live (e.g. access to basic needs like food)—&amp; how we can work together to hold elected officials accountable for change https://t.co/6k8DbQzcvn,MadelineinDC,DC (Occupied Powhatan Land),1,4,9,0
17,2019-10-07 14:00:19+00:00,1181207628925587459,Six organizations formed the Mississippi Food Justice Collaborative to improve health outcomes for #Mississippi children and families. Check out how increasing access to local foods is transforming the state's food system. https://t.co/0gmdRz11PW #F2SMonth @NCAT_ORG @FoodCorps,WK_Kellogg_Fdn,"Battle Creek, Mich.",1,3,14,1
18,2019-09-14 16:44:59+00:00,1172914149287956481,"1000% sure I’m not trusting my health or life to what fast food staff tell me.

Owen Carey died after eating Byron burger despite informing staff of allergy, coroner rules - CNN https://t.co/oeUhWXyWWC",clemsontyger,"Dallas, TX",0,0,1,0
19,2019-08-17 15:46:34+00:00,1162752586178617345,"LIVE!! Food never found better friends than this collection of authors who cover the spread with heart, health, humor, and a party spirit. #MSBookFest #MPBBooks @msbookfest @PBSFood  https://t.co/zhVlnCoUoC",MPBOnline,"Jackson, MS",0,5,9,0
20,2019-08-14 20:40:22+00:00,1161739363140755464,"Today, @DHSgov published its finalized #publiccharge regulation, which aims to sow fear &amp; reap chaos, cruelty, &amp; increased racial &amp; economic injustices in health, food security, &amp; poverty for immigrant families in MS &amp; throughout the land of the free.",MadelineinDC,DC (Occupied Powhatan Land),1,0,0,0
21,2019-08-08 23:30:41+00:00,1159607895899758592,@AliVelshi Walmart sells unhealthy food that is consumed by people who become obese and in turn have health issues and sometimes die from them... are you walking out for that too?,twitwmj,"Richland, MS",0,0,0,0
22,2019-07-22 12:50:26+00:00,1153286175962148864,"Thanks WAPT for promoting our AARP MS Back-To-School Block Party! Join us this Sat.,July 27th from 10:00-12:00 at Kirksey Middle Sch! Get free haircuts, school uniforms/supplies, food from Penn’s and Outback, health/vision/dental screenings, guardianship help &amp; more! @16WAPTNews https://t.co/4V70aUmA8D",KimberlyLCampb3,"Madison, MS",1,0,21,1
23,2019-07-09 14:47:14+00:00,1148604530373869568,"Vitamin D is the only vitamin humans can acquire without food — albeit with a catch. https://t.co/CrMmHlVfWK

#vitamins #vitaminD #HealthyFood #Health #sunshine #HealthyEating #healthylifestyle #mushrooms #fitnessmodels",LaBoomer68,God's Country,0,0,0,0
24,2019-07-07 13:04:52+00:00,1147853991201648641,"23 Delicious Ways to Eat an Avocado https://t.co/3J7ZS60OHS

#diet #NutritionMonth #nutrition #Food #HealthyFood #Health #avocadotoast",LaBoomer68,God's Country,0,0,1,0
25,2019-07-05 21:24:46+00:00,1147255021249187842,"We created this monstrous behavior as a society, but she needs to do some serious service to her community at food banks and the health department. #BlueBell #BlueBellLicker https://t.co/Ghyk1jljHz",clovejackson,Mississippi,0,0,2,0
26,2019-07-02 20:49:16+00:00,1146158925009641473,@clarionledger This is pretty embarrassing! Instead of worrying about renaming a non-issue how about worrying about the food insecurity issues this state faces or the public health crisis. Priorities are all out of wack.,_salamrida,"Jackson, MS",0,0,4,0
27,2018-12-27 03:09:46+00:00,1078125759657664512,@FitnessMamma @BarryRChapman @Headsnipe011 Health foods Kill me.,s_pboyd,Texas,0,0,1,0
28,2018-11-16 11:38:05+00:00,1063395778855665664,Kansas City Health Department pours bleach on food meant for homeless people https://t.co/ab0IkaqNAW,RCatchings6,,0,0,0,0
29,2018-09-30 04:35:23+00:00,1046257172294840320,"I realized that eating right and working out was not just for my physical health, but my mental health as well. Not only did I gain back the weight, but I was terrified of food. I was eating healthy when I was gaining weight, but it’s not just about what you eat.",erinldaniel,"Brandon, MS",0,0,0,0
30,2018-09-08 04:25:28+00:00,1038282145905737728,"Thank you @millsapscollege for a great forum with @UMMCnews Dr. Caroline Compretta, @msdh Dr. Victor Sutton, &amp; Qula Madkin on food &amp; public health in Mississippi. #FoodisMedicine #FoodJustice https://t.co/HH8ymT7xYG",MadelineinDC,DC (Occupied Powhatan Land),0,1,2,0
31,2018-09-05 22:34:00+00:00,1037468921773936640,#foodscience #nutrition and #health The future of food: Scientists have found a fast and cheap way to edit your edibles’ DNA - The Washington Posthttps://apple.news/AhAPDXGYmQaWyARk7-PabtQ,MSU_FSNHP,"Mississippi State, Mississippi",0,0,0,0
